"Site","plot","Latitude","Longitude","time","start_year","end_year"
"DELA","DELA_005",32.523355,-87.814626,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"DELA","DELA_009",32.534101,-87.816942,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"DELA","DELA_011",32.520324,-87.817128,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"DELA","DELA_013",32.540611,-87.817309,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"DELA","DELA_015",32.52874,-87.813389,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"DELA","DELA_016",32.535814,-87.808008,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"DELA","DELA_021",32.526812,-87.819123,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"DELA","DELA_025",32.535528,-87.809901,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"DELA","DELA_026",32.534432,-87.8112,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"DELA","DELA_027",32.538459,-87.809949,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"DELA","DELA_038",32.54229,-87.806804,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"DSNY","DSNY_001",28.0967,-81.418579,"2014,2015,2016,2017,2018,2019",2014,2019
"DSNY","DSNY_002",28.048244,-81.416879,"2014,2015,2016,2017,2018,2019",2014,2019
"DSNY","DSNY_003",28.074209,-81.425532,"2014,2015,2016,2017,2018,2019",2014,2019
"DSNY","DSNY_004",28.099732,-81.399974,"2014,2015,2016,2017,2018,2019",2014,2019
"DSNY","DSNY_006",28.09297,-81.399334,"2014,2015,2016,2017,2018,2019",2014,2019
"DSNY","DSNY_007",28.053114,-81.417507,"2014,2015,2016,2017,2018,2019",2014,2019
"DSNY","DSNY_008",28.046662,-81.401888,"2014,2015,2016,2017,2018,2019",2014,2019
"DSNY","DSNY_010",28.11859,-81.435161,"2014,2015,2016,2017,2018,2019",2014,2019
"DSNY","DSNY_012",28.102984,-81.406399,"2014,2015,2016,2017,2018,2019",2014,2019
"DSNY","DSNY_016",28.043948,-81.393638,"2014,2015,2016,2017,2018,2019",2014,2019
"DSNY","DSNY_017",28.058282,-81.402874,"2014,2015,2016,2017,2018,2019",2014,2019
"DSNY","DSNY_024",28.045531,-81.418683,"2014,2015,2016,2017,2018,2019",2014,2019
"DSNY","DSNY_025",28.071776,-81.42062,"2014,2015,2016,2017,2018,2019",2014,2019
"DSNY","DSNY_034",28.063937,-81.418449,"2014,2015,2016,2017,2018,2019",2014,2019
"DSNY","DSNY_037",28.044794,-81.392123,"2014,2015,2016,2017,2018,2019",2014,2019
"GRSM","GRSM_001",35.684589,-83.532102,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"GRSM","GRSM_002",35.670427,-83.587378,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"GRSM","GRSM_003",35.67661,-83.474563,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"GRSM","GRSM_004",35.690178,-83.536321,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"GRSM","GRSM_006",35.6789,-83.645325,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"GRSM","GRSM_008",35.679121,-83.482275,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"GRSM","GRSM_009",35.670878,-83.48998,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"GRSM","GRSM_010",35.669842,-83.52603,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"GRSM","GRSM_012",35.670778,-83.481653,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"GRSM","GRSM_014",35.66449,-83.524234,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"GRSM","GRSM_016",35.593016,-83.474652,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"GRSM","GRSM_017",35.669925,-83.522396,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"GRSM","GRSM_019",35.678734,-83.642356,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"GRSM","GRSM_026",35.683538,-83.644152,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"GRSM","GRSM_027",35.561217,-83.495854,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"GUAN","GUAN_002",17.970294,-66.824633,"2016,2017,2018,2019,2020",2016,2020
"GUAN","GUAN_003",17.973138,-66.861701,"2016,2017,2018,2019,2020",2016,2020
"GUAN","GUAN_005",17.968745,-66.88045,"2016,2017,2018,2019,2020",2016,2020
"GUAN","GUAN_006",17.963818,-66.875667,"2016,2017,2018,2019,2020",2016,2020
"GUAN","GUAN_008",17.965762,-66.832036,"2016,2017,2018,2019,2020",2016,2020
"GUAN","GUAN_009",17.97943,-66.867833,"2016,2017,2018,2019,2020",2016,2020
"GUAN","GUAN_010",17.972442,-66.871318,"2016,2017,2018,2019,2020",2016,2020
"GUAN","GUAN_011",17.97511,-66.867035,"2016,2017,2018,2019,2020",2016,2020
"GUAN","GUAN_015",17.976917,-66.861918,"2016,2017,2018,2019,2020",2016,2020
"GUAN","GUAN_016",17.967958,-66.884679,"2016,2017,2018,2019,2020",2016,2020
"GUAN","GUAN_018",17.971776,-66.861999,"2016,2017,2018,2019,2020",2016,2020
"GUAN","GUAN_023",17.983632,-66.879113,"2016,2017,2018,2019,2020",2016,2020
"GUAN","GUAN_024",17.961652,-66.900614,"2016,2017,2018,2019,2020",2016,2020
"GUAN","GUAN_042",17.970725,-66.863969,"2016,2017,2018,2019,2020",2016,2020
"GUAN","GUAN_043",17.968869,-66.867682,"2016,2017,2018,2019,2020",2016,2020
"GUAN","GUAN_048",17.96911,-66.864276,"2016,2017,2018,2019,2020",2016,2020
"HARV","HARV_002",42.478565,-72.259572,"2014,2015,2016,2017,2018,2019,2020,2021,2022",2014,2022
"HARV","HARV_004",42.427091,-72.229737,"2014,2015,2016,2017,2018,2019,2020,2021,2022",2014,2022
"HARV","HARV_005",42.489469,-72.275158,"2014,2015,2016,2017,2018,2019,2020,2021,2022",2014,2022
"HARV","HARV_008",42.444557,-72.226082,"2014,2015,2016,2017,2018,2019,2020,2021,2022",2014,2022
"HARV","HARV_010",42.424723,-72.254599,"2014,2015,2016,2017,2018,2019,2020,2021,2022",2014,2022
"HARV","HARV_011",42.455924,-72.238278,"2014,2015,2016,2017,2018,2019,2020,2021,2022",2014,2022
"HARV","HARV_013",42.392282,-72.254598,"2014,2015,2016,2017,2018,2019,2020,2021,2022",2014,2022
"HARV","HARV_015",42.538822,-72.182055,"2014,2015,2016,2017,2018,2019,2020,2021,2022",2014,2022
"HARV","HARV_016",42.45847,-72.231992,"2014,2015,2016,2017,2018,2019,2020,2021,2022",2014,2022
"HARV","HARV_020",42.436756,-72.228878,"2014,2015,2016,2017,2018,2019,2020,2021,2022",2014,2022
"HARV","HARV_021",42.45243,-72.250472,"2014,2015,2016,2017,2018,2019,2020,2021,2022",2014,2022
"HARV","HARV_022",42.434188,-72.198776,"2014,2015,2016,2017,2018,2019,2020,2021,2022",2014,2022
"HARV","HARV_023",42.414314,-72.226622,"2014,2015,2016,2017,2018,2019,2020,2021,2022",2014,2022
"HARV","HARV_024",42.459993,-72.25087,"2014,2015,2016,2017,2018,2019,2020,2021,2022",2014,2022
"HARV","HARV_025",42.475428,-72.273927,"2014,2015,2016,2017,2018,2019,2020,2021,2022",2014,2022
"HARV","HARV_026",42.410762,-72.247271,"2014,2015,2016,2017,2018,2019,2020,2021,2022",2014,2022
"HARV","HARV_027",42.43035,-72.253258,"2014,2015,2016,2017,2018,2019,2020,2021,2022",2014,2022
"HARV","HARV_028",42.431817,-72.225087,"2014,2015,2016,2017,2018,2019,2020,2021,2022",2014,2022
"HARV","HARV_029",42.466458,-72.237434,"2014,2015,2016,2017,2018,2019,2020,2021,2022",2014,2022
"HARV","HARV_033",42.538302,-72.175607,"2014,2015,2016,2017,2018,2019,2020,2021,2022",2014,2022
"JERC","JERC_001",31.194314,-84.477077,"2015,2016,2017,2018,2019",2015,2019
"JERC","JERC_002",31.194504,-84.460062,"2015,2016,2017,2018,2019",2015,2019
"JERC","JERC_003",31.19615,-84.473249,"2015,2016,2017,2018,2019",2015,2019
"JERC","JERC_004",31.189774,-84.465861,"2015,2016,2017,2018,2019",2015,2019
"JERC","JERC_005",31.195968,-84.451228,"2015,2016,2017,2018,2019",2015,2019
"JERC","JERC_006",31.187671,-84.45585,"2015,2016,2017,2018,2019",2015,2019
"JERC","JERC_007",31.198632,-84.476315,"2015,2016,2017,2018,2019",2015,2019
"JERC","JERC_009",31.194989,-84.456903,"2015,2016,2017,2018,2019",2015,2019
"JERC","JERC_010",31.208232,-84.469499,"2015,2016,2017,2018,2019",2015,2019
"JERC","JERC_011",31.185207,-84.468204,"2015,2016,2017,2018,2019",2015,2019
"JERC","JERC_013",31.178468,-84.469946,"2015,2016,2017,2018,2019",2015,2019
"JERC","JERC_015",31.190611,-84.454221,"2015,2016,2017,2018,2019",2015,2019
"JERC","JERC_018",31.192585,-84.45826,"2015,2016,2017,2018,2019",2015,2019
"JERC","JERC_019",31.187434,-84.470663,"2015,2016,2017,2018,2019",2015,2019
"JERC","JERC_020",31.183807,-84.46508,"2015,2016,2017,2018,2019",2015,2019
"JERC","JERC_021",31.175756,-84.469063,"2015,2016,2017,2018,2019",2015,2019
"JERC","JERC_022",31.210376,-84.468464,"2015,2016,2017,2018,2019",2015,2019
"JERC","JERC_028",31.182704,-84.477998,"2015,2016,2017,2018,2019",2015,2019
"JERC","JERC_029",31.186763,-84.46438,"2015,2016,2017,2018,2019",2015,2019
"JERC","JERC_033",31.192003,-84.456038,"2015,2016,2017,2018,2019",2015,2019
"JERC","JERC_036",31.184997,-84.470422,"2015,2016,2017,2018,2019",2015,2019
"JERC","JERC_047",31.198433,-84.467178,"2015,2016,2017,2018,2019",2015,2019
"KONZ","KONZ_001",39.075067,-96.555874,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"KONZ","KONZ_002",39.119992,-96.546015,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"KONZ","KONZ_003",39.088076,-96.570347,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"KONZ","KONZ_005",39.082563,-96.566704,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"KONZ","KONZ_006",39.07116,-96.58894,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"KONZ","KONZ_007",39.086976,-96.544716,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"KONZ","KONZ_008",39.108081,-96.545368,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"KONZ","KONZ_009",39.107315,-96.585981,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"KONZ","KONZ_010",39.073755,-96.571173,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"KONZ","KONZ_024",39.110903,-96.552209,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"KONZ","KONZ_026",39.089051,-96.578636,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"KONZ","KONZ_042",39.09957,-96.564404,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"KONZ","KONZ_043",39.102192,-96.56118,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"KONZ","KONZ_045",39.103827,-96.561811,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"LAJA","LAJA_001",18.024533,-67.076837,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"LAJA","LAJA_005",18.025704,-67.084747,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"LAJA","LAJA_007",18.0278,-67.078507,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"LAJA","LAJA_008",18.025907,-67.078525,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"LAJA","LAJA_010",18.026484,-67.08278,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"LAJA","LAJA_011",18.018109,-67.084278,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"LAJA","LAJA_014",18.023477,-67.08026,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"LAJA","LAJA_015",18.034464,-67.066822,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"LAJA","LAJA_017",18.017713,-67.074931,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"LAJA","LAJA_018",18.034241,-67.072199,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"LAJA","LAJA_019",18.032068,-67.070519,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"LAJA","LAJA_023",18.035855,-67.06962,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"LAJA","LAJA_024",18.036913,-67.07075,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"LAJA","LAJA_027",18.035317,-67.070485,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"LAJA","LAJA_028",18.03777,-67.071596,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"LAJA","LAJA_042",18.020196,-67.075468,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"LAJA","LAJA_044",18.019086,-67.075469,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"LAJA","LAJA_046",18.020963,-67.074891,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"MLBS","MLBS_001",37.3607,-80.524992,"2018,2019,2020,2021,2022",2018,2022
"MLBS","MLBS_002",37.372058,-80.524252,"2018,2019,2020,2021,2022",2018,2022
"MLBS","MLBS_003",37.368528,-80.526975,"2018,2019,2020,2021,2022",2018,2022
"MLBS","MLBS_004",37.429342,-80.511896,"2018,2019,2020,2021,2022",2018,2022
"MLBS","MLBS_005",37.363106,-80.521589,"2018,2019,2020,2021,2022",2018,2022
"MLBS","MLBS_006",37.426799,-80.564064,"2018,2019,2020,2021,2022",2018,2022
"MLBS","MLBS_007",37.427946,-80.571837,"2018,2019,2020,2021,2022",2018,2022
"MLBS","MLBS_008",37.426865,-80.499069,"2018,2019,2020,2021,2022",2018,2022
"MLBS","MLBS_009",37.374434,-80.518487,"2018,2019,2020,2021,2022",2018,2022
"MLBS","MLBS_010",37.365565,-80.526343,"2018,2019,2020,2021,2022",2018,2022
"MLBS","MLBS_013",37.432507,-80.559608,"2018,2019,2020,2021,2022",2018,2022
"MLBS","MLBS_014",37.417102,-80.557337,"2018,2019,2020,2021,2022",2018,2022
"MLBS","MLBS_061",37.376631,-80.5198,"2018,2019,2020,2021,2022",2018,2022
"MLBS","MLBS_063",37.377486,-80.527932,"2018,2019,2020,2021,2022",2018,2022
"MLBS","MLBS_064",37.37556,-80.5202,"2018,2019",2018,2019
"MLBS","MLBS_064",37.375562,-80.520174,"2020,2021,2022",2020,2022
"NIWO","NIWO_001",40.042345,-105.558975,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"NIWO","NIWO_002",40.041058,-105.547043,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"NIWO","NIWO_003",40.051247,-105.565041,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"NIWO","NIWO_006",40.055052,-105.561551,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"NIWO","NIWO_008",40.054475,-105.567876,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"NIWO","NIWO_009",40.045048,-105.560411,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"NIWO","NIWO_011",40.033991,-105.555396,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"NIWO","NIWO_013",40.059545,-105.583047,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"NIWO","NIWO_014",40.050779,-105.548152,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"NIWO","NIWO_015",40.040114,-105.572665,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"NIWO","NIWO_018",40.052498,-105.584022,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
