"region","area","spe_sta","spe_asyn","com_sta","sr"
"NOGP",2,1.83225795789908,2.96618811741986,5.43482178276825,31.4375
"NOGP",4,2.06090409288321,2.94424036576362,6.06779702023419,48.7410714285714
"NOGP",8,2.18580423660782,2.87802627919591,6.29080203413507,68.5714285714286
"NOGP",16,2.22905820193284,2.82951507765879,6.30715379134794,94.1428571428571
"OAES",1,1.13088530543,3.18847412528039,3.60579853502337,40.5962732919255
"OAES",2,1.22295096103898,3.06311938713707,3.74604479827642,61.0745341614907
"OAES",4,1.32275061347773,2.92405402380276,3.86779425382713,85.2298136645963
"OAES",8,1.47094145783643,2.7933442965491,4.10884593180503,111.888198757764
"OAES",16,1.57014779010104,2.60810946485738,4.09511731258742,139.850931677019
"OAES",23,1.60288250200551,2.59332960948615,4.15680265297812,158.142857142857
"ORNL",1,1.208332790994,2.82156138480011,3.40938514305641,28.9876543209877
"ORNL",2,1.32636930735626,3.0093367340933,3.99149187960109,46.962962962963
"ORNL",4,1.40632578137136,3.20475738714144,4.50693293657733,68.6728395061728
"ORNL",8,1.58596734018352,3.22758595244528,5.11884590821333,96.9320987654321
"ORNL",16,1.84829185614578,2.81570986441933,5.20425361167559,131.179012345679
"ORNL",18,1.91213597523381,2.59588683652254,4.96368860775064,138.222222222222
"OSBS",1,1.21782977029919,2.78076353869704,3.38649662158778,23.6555555555556
"OSBS",2,1.31178621705913,3.18290855677006,4.17529557493053,41.2222222222222
"OSBS",4,1.41789943416298,3.66188190029684,5.19218027440257,67.4555555555555
"OSBS",8,1.61101761910009,3.5246815375285,5.67832405867522,98.5555555555556
"OSBS",15,1.83433222247816,3.47596751059436,6.37607920897044,134.666666666667
"RMNP",1,1.42548128753764,2.83689794799291,4.04394493951783,17.8229166666667
"RMNP",2,1.5563283177525,3.15128839731934,4.90443937015297,26.5833333333333
"RMNP",4,1.59775854657671,3.69373532199517,5.90169717951006,45.8541666666667
"RMNP",8,1.76216320450939,4.6277624723907,8.15487274805627,73.6458333333333
"RMNP",16,1.85043749874166,3.75264143408261,6.94402842895814,117.666666666667
"SCBI",1,1.34934986586657,2.56938864713329,3.4670042263684,31.3482142857143
"SCBI",2,1.42938637339762,2.787102557119,3.98384641640756,48.1785714285714
"SCBI",4,1.52510241480227,2.81512606313505,4.29335555686008,66.7321428571429
"SCBI",8,1.64235977561818,2.82022802765164,4.63182907068606,87.2410714285714
"SCBI",14,1.83721471219272,2.69285173532325,4.94734682588958,111.625
"SERC",1,1.47572417517552,2.13981811611204,3.15778132442506,25.2512315270936
"SERC",2,1.55225097376982,2.32646223193699,3.61125326496289,40.0197044334975
"SERC",4,1.68213763576757,2.64078754290878,4.44216811399302,59.4187192118227
"SERC",8,1.74364811500005,2.88392010998098,5.02854186357906,83.9261083743842
"SERC",16,2.02965174248201,3.00825019106442,6.10570024211573,118.133004926108
"SERC",29,2.05187987448114,2.92754045246275,6.00696133613772,150.285714285714
"SRER",1,0.928263397609956,2.51463030609268,2.33423927166655,28.8035714285714
"SRER",2,0.98713591265778,2.62093525638437,2.58721931632793,45.5357142857143
"SRER",4,1.05254290999702,2.7606513182201,2.9057039719665,69.6964285714286
"SRER",8,1.09400037633595,2.60768105052738,2.85280405064108,102.77380952381
"SRER",16,1.17791073811226,2.51673559398277,2.96448988114165,138.85119047619
"SRER",24,1.21227471846638,2.53402806336015,3.07193815709584,165.142857142857
"STEI",1,1.11781621588408,3.17079400261656,3.54436495335277,27.7857142857143
"STEI",2,1.15156492008943,3.99677234320891,4.60254282402303,47.8660714285714
"STEI",4,1.19041709416444,5.32371176353295,6.33743748771395,77.9285714285714
"STEI",8,1.31670419686567,4.99340087522573,6.57483188904245,110.116071428571
"STEI",16,1.50524907719687,5.34703416484662,8.04861824237553,162.428571428571
"TALL",1,0.974671661881143,3.56535486508242,3.4750503515459,26.8650793650794
"TALL",2,1.03976240980671,3.69789531382277,3.84493254271331,43.0793650793651
"TALL",4,1.20619095088686,4.10477549145667,4.95114305321721,68.2460317460317
"TALL",8,1.32021060921712,4.10920772046166,5.42501962803036,104.761904761905
"TALL",14,1.43818617570818,3.78135127301178,5.43828712634207,137.666666666667
"TREE",1,1.24002269603625,2.86542448840182,3.55319139939633,28.4761904761905
"TREE",2,1.33459682203008,3.34391055353579,4.46277239790171,44.4920634920635
"TREE",4,1.49638549282671,3.5680516155179,5.3391806751179,68.1825396825397
"TREE",8,1.71454741525181,4.01407669624194,6.88232482416415,101.912698412698
"TREE",16,1.80949438955002,4.14087523036255,7.4928904971677,144.333333333333
"TREE",21,1.76277674342334,4.81456127091443,8.48699663815465,169.833333333333
"UKFS",1,1.24738730013449,2.77819431099712,3.4654843008437,33.3333333333333
"UKFS",2,1.30119386282469,3.06750185699816,3.99141459052934,54.8571428571429
"UKFS",4,1.42538274208426,2.8951055974413,4.12663355510439,77.6190476190476
"UKFS",8,1.53822096446346,2.75738055899004,4.24146058284246,120.821428571429
"UKFS",14,1.71364984531199,2.62366271601616,4.49603920745193,151.833333333333
"UNDE",1,1.21137694237074,2.58313857650924,3.12915451053167,25.1845238095238
"UNDE",2,1.27946637873069,3.05242677720761,3.9054774349744,42.3571428571429
"UNDE",4,1.35352479275355,3.05575952488914,4.13604627763026,70.6785714285714
"UNDE",8,1.48085786902427,3.21679867274374,4.76362162759939,103.875
"UNDE",16,1.59158591133939,3.14553047006291,5.00638197984089,146.22619047619
"UNDE",24,1.74439628698753,2.82749348248186,4.9322691323228,173
"WOOD",1,1.27395975380198,2.06709363573191,2.63339409926267,15.4583333333333
"WOOD",2,1.34233861466703,2.16484730361429,2.90595813049927,25.6369047619048
"WOOD",4,1.47315672307305,2.11059798711299,3.10924161441995,37.7261904761905
"WOOD",8,1.52662891593588,2.07505652217593,3.16784128895511,55.8809523809524
"WOOD",16,1.62666796704378,2.03286757604561,3.30680056719533,76.1488095238095
"WOOD",21,1.64243909512813,2.03857865984569,3.34824128942447,86.75
